eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
t060,TOUR Championship,1,1,Webb Simpson,52,68.978,"3,539",47.881,52
t060,TOUR Championship,2,3,Jon Rahm,58,69.127,"3,991",18.356,58
t060,TOUR Championship,3,5,Justin Thomas,66,69.128,"4,538",24.461,66
t060,TOUR Championship,4,6,Rory McIlroy,60,69.219,"4,146",7.155,60
t060,TOUR Championship,5,7,Xander Schauffele,70,69.227,"4,832",13.902,70
t060,TOUR Championship,6,4,Daniel Berger,64,69.237,"4,403",28.197,64
t060,TOUR Championship,7,2,Bryson DeChambeau,62,69.241,"4,263",29.931,62
t060,TOUR Championship,8,8,Dustin Johnson,49,69.323,"3,378",18.845,49
t060,TOUR Championship,9,9,Harris English,76,69.496,"5,254",27.673,76
t060,TOUR Championship,10,10,Tyrrell Hatton,42,69.507,"2,901",18.304,42
t060,TOUR Championship,11,11,Patrick Reed,74,69.586,"5,136",13.399,74
t060,TOUR Championship,12,14,Scottie Scheffler,82,69.709,"5,680",36.165,82
t060,TOUR Championship,13,13,Patrick Cantlay,46,69.764,"3,201",8.135,46
t060,TOUR Championship,14,12,Hideki Matsuyama,74,69.766,"5,137",25.668,74
t060,TOUR Championship,15,16,Collin Morikawa,80,69.856,"5,566",22.505,80
t060,TOUR Championship,16,15,Abraham Ancer,74,69.892,"5,147",25.036,74
t060,TOUR Championship,17,17,Gary Woodland,62,69.930,"4,318",17.684,62
t060,TOUR Championship,18,18,Adam Scott,38,69.977,"2,647",12.114,38
t060,TOUR Championship,19,20,Sungjae Im,94,69.987,"6,539",39.769,94
t060,TOUR Championship,20,19,Tony Finau,72,69.992,"4,998",41.441,72
t060,TOUR Championship,21,21,Brian Harman,78,70.041,"5,415",48.216,78
t060,TOUR Championship,22,22,Viktor Hovland,74,70.060,"5,160",24.447,74
t060,TOUR Championship,23,23,Matthew Fitzpatrick,54,70.070,"3,789",- 5.222,54
t060,TOUR Championship,24,27,Alex Noren,60,70.127,"3,900",27.139,56
t060,TOUR Championship,25,28,Ian Poulter,48,70.140,"3,355",11.731,48
t060,TOUR Championship,26,25,Brendon Todd,86,70.151,"5,994",38.954,86
t060,TOUR Championship,27,29,Russell Henley,67,70.157,"4,386",33.902,63
t060,TOUR Championship,28,30,Jason Day,53,70.163,"3,713",5.657,53
t060,TOUR Championship,29,26,Ryan Palmer,68,70.196,"4,757",16.341,68
t060,TOUR Championship,30,24,Billy Horschel,79,70.209,"5,528",18.507,79
t060,TOUR Championship,31,31,Tommy Fleetwood,40,70.259,"2,797",13.350,40
t060,TOUR Championship,32,32,Shane Lowry,44,70.265,"3,077",14.674,44
t060,TOUR Championship,33,34,Harold Varner III,74,70.297,"5,163",39.004,74
t060,TOUR Championship,34,35,Brendan Steele,68,70.302,"4,481",18.334,64
t060,TOUR Championship,T35,T36,Bubba Watson,66,70.308,"4,619",21.310,66
t060,TOUR Championship,T35,T36,Bud Cauley,65,70.308,"4,281",7.796,61
t060,TOUR Championship,37,38,Matt Kuchar,56,70.312,"3,927",10.465,56
t060,TOUR Championship,38,39,Kevin Kisner,73,70.360,"5,096",40.264,73
t060,TOUR Championship,39,33,Joaquin Niemann,76,70.364,"5,312",35.688,76
t060,TOUR Championship,40,41,Paul Casey,56,70.373,"3,916",24.874,56
t060,TOUR Championship,41,42,Zach Johnson,61,70.388,"4,270",23.670,61
t060,TOUR Championship,42,43,Adam Long,88,70.410,"6,158",38.043,88
t060,TOUR Championship,43,44,Mark Hubbard,86,70.414,"6,005",50.597,86
t060,TOUR Championship,44,45,Joel Dahmen,79,70.415,"5,543",19.764,79
t060,TOUR Championship,45,46,J.T. Poston,78,70.429,"5,456",37.470,78
t060,TOUR Championship,T46,47,Corey Conners,74,70.430,"5,191",20.824,74
t060,TOUR Championship,T46,40,Kevin Na,71,70.430,"4,974",26.553,71
t060,TOUR Championship,48,49,Lanto Griffin,96,70.451,"6,445",36.510,92
t060,TOUR Championship,49,48,Denny McCarthy,81,70.454,"5,375",49.970,77
t060,TOUR Championship,50,50,Doc Redman,82,70.477,"5,725",54.078,82
t060,TOUR Championship,51,60,Sebastián Muñoz,84,70.485,"5,874",46.749,84
t060,TOUR Championship,52,51,Louis Oosthuizen,48,70.493,"3,379",4.668,48
t060,TOUR Championship,53,52,Rickie Fowler,44,70.499,"3,085",16.953,44
t060,TOUR Championship,54,53,Will Gordon,36,70.524,"2,226",30.755,32
t060,TOUR Championship,55,55,Carlos Ortiz,72,70.528,"5,045",33.022,72
t060,TOUR Championship,56,57,Cameron Tringale,63,70.534,"4,403",40.613,63
t060,TOUR Championship,57,58,Talor Gooch,83,70.535,"5,820",34.365,83
t060,TOUR Championship,58,59,Brooks Koepka,40,70.546,"2,827",- 5.163,40
t060,TOUR Championship,59,61,Brice Garnett,58,70.563,"4,049",43.630,58
t060,TOUR Championship,60,62,Byeong Hun An,75,70.568,"5,271",21.567,75
t060,TOUR Championship,61,63,Richy Werenski,60,70.573,"3,923",29.100,56
t060,TOUR Championship,62,64,Sergio Garcia,44,70.574,"3,085",20.258,44
t060,TOUR Championship,63,65,Matthew NeSmith,72,70.575,"4,756",43.096,68
t060,TOUR Championship,T64,66,Justin Rose,38,70.589,"2,672",10.371,38
t060,TOUR Championship,T64,77,Mackenzie Hughes,70,70.589,"4,918",23.195,70
t060,TOUR Championship,66,67,Tom Hoge,74,70.605,"5,203",21.775,74
t060,TOUR Championship,67,68,Nick Taylor,59,70.607,"4,150",15.804,59
t060,TOUR Championship,68,69,Danny Lee,69,70.609,"4,843",28.990,69
t060,TOUR Championship,69,T70,Adam Hadwin,65,70.610,"4,557",32.675,65
t060,TOUR Championship,70,73,Jim Furyk,39,70.616,"2,739",15.040,39
t060,TOUR Championship,71,74,Jason Kokrak,62,70.617,"4,353",25.284,62
t060,TOUR Championship,72,75,Dylan Frittelli,82,70.630,"5,770",21.698,82
t060,TOUR Championship,73,76,Cameron Davis,62,70.639,"4,056",41.064,58
t060,TOUR Championship,74,72,Cameron Smith,64,70.643,"4,497",24.166,64
t060,TOUR Championship,75,78,Ryan Moore,48,70.707,"3,090",21.114,44
t060,TOUR Championship,76,79,Charles Howell III,69,70.716,"4,844",35.399,69
t060,TOUR Championship,77,80,Matthew Wolff,74,70.726,"5,211",22.736,74
t060,TOUR Championship,78,81,Scott Stallings,71,70.727,"4,671",67.709,67
t060,TOUR Championship,79,82,Brandt Snedeker,53,70.731,"3,706",42.752,53
t060,TOUR Championship,80,83,Adam Schenk,78,70.732,"5,165",69.197,74
t060,TOUR Championship,81,84,Kevin Streelman,73,70.738,"5,141",22.885,73
t060,TOUR Championship,82,85,Russell Knox,67,70.760,"4,411",46.882,63
t060,TOUR Championship,83,87,Sam Burns,60,70.778,"4,073",32.133,58
t060,TOUR Championship,84,88,Rory Sabbatini,66,70.779,"4,645",26.437,66
t060,TOUR Championship,85,89,Maverick McNealy,80,70.790,"5,329",51.030,76
t060,TOUR Championship,86,90,Henrik Norlander,74,70.798,"5,190",49.076,74
t060,TOUR Championship,87,91,Bronson Burgoon,55,70.809,"3,701",51.870,53
t060,TOUR Championship,88,92,Matt Jones,76,70.817,"5,344",38.078,76
t060,TOUR Championship,89,93,Vaughn Taylor,61,70.827,"4,299",21.434,61
t060,TOUR Championship,90,94,Tyler Duncan,83,70.840,"5,836",43.705,83
t060,TOUR Championship,91,95,Harry Higgs,83,70.852,"5,844",36.707,83
t060,TOUR Championship,92,96,Pat Perez,59,70.853,"3,855",41.925,55
t060,TOUR Championship,93,98,Jordan Spieth,62,70.856,"4,367",26.085,62
t060,TOUR Championship,94,99,Keegan Bradley,68,70.861,"4,801",17.560,68
t060,TOUR Championship,95,97,Cameron Champ,70,70.868,"4,929",31.787,70
t060,TOUR Championship,96,100,Patrick Rodgers,95,70.869,"6,398",51.051,91
t060,TOUR Championship,97,101,Jhonattan Vegas,52,70.883,"3,505",39.158,50
t060,TOUR Championship,98,102,Brian Stuard,83,70.885,"5,679",62.709,81
t060,TOUR Championship,99,103,Aaron Wise,49,70.899,"3,162",28.455,45
t060,TOUR Championship,100,104,Nick Watney,46,70.902,"3,094",25.689,44
t060,TOUR Championship,101,105,Tim Wilkinson,50,70.936,"3,224",39.064,46
t060,TOUR Championship,102,106,Max Homa,70,70.942,"4,939",26.961,70
t060,TOUR Championship,103,107,Seamus Power,36,70.962,"2,239",31.770,32
t060,TOUR Championship,104,108,Emiliano Grillo,69,70.963,"4,567",45.589,65
t060,TOUR Championship,105,109,Kyle Stanley,57,71.008,"3,717",46.418,53
t060,TOUR Championship,106,110,Phil Mickelson,51,71.009,"3,599",22.481,51
t060,TOUR Championship,107,111,Chez Reavie,77,71.043,"5,428",42.307,77
t060,TOUR Championship,108,112,Luke List,69,71.048,"4,860",42.338,69
t060,TOUR Championship,109,113,Xinjun Zhang,77,71.058,"5,436",35.452,77
t060,TOUR Championship,110,114,Charley Hoffman,63,71.060,"4,149",43.531,59
t060,TOUR Championship,111,115,Michael Thompson,62,71.061,"4,371",34.753,62
t060,TOUR Championship,112,116,Cameron Percy,49,71.073,"3,162",36.263,45
t060,TOUR Championship,113,117,Sam Ryder,74,71.091,"4,922",54.379,70
t060,TOUR Championship,114,118,Ryan Armour,60,71.092,"4,068",55.344,58
t060,TOUR Championship,115,119,Mark Anderson,51,71.095,"3,319",22.480,47
t060,TOUR Championship,116,120,Sepp Straka,70,71.102,"4,943",34.132,70
t060,TOUR Championship,117,121,Branden Grace,43,71.108,"2,880",35.423,41
t060,TOUR Championship,118,122,Lucas Glover,67,71.120,"4,724",41.051,67
t060,TOUR Championship,119,124,Jason Dufner,62,71.159,"4,390",21.855,62
t060,TOUR Championship,120,125,Troy Merritt,72,71.165,"4,791",48.244,68
t060,TOUR Championship,121,126,Chris Baker,53,71.170,"3,454",33.312,49
t060,TOUR Championship,122,127,Chase Seiffert,56,71.175,"3,806",37.468,54
t060,TOUR Championship,123,123,Marc Leishman,61,71.186,"4,343",- .672,61
t060,TOUR Championship,124,128,Stewart Cink,51,71.189,"3,621",9.639,51
t060,TOUR Championship,125,129,Bo Hoag,71,71.193,"4,718",51.923,67
t060,TOUR Championship,126,130,Matt Wallace,44,71.206,"3,129",4.052,44
t060,TOUR Championship,T127,T131,Chesson Hadley,62,71.228,"4,078",53.208,58
t060,TOUR Championship,T127,T131,Andrew Landry,63,71.228,"4,453",34.367,63
t060,TOUR Championship,129,133,Peter Uihlein,47,71.235,"3,016",47.101,43
t060,TOUR Championship,130,134,Wyndham Clark,65,71.243,"4,323",22.808,61
t060,TOUR Championship,131,135,Fabián Gómez,59,71.252,"3,870",48.862,55
t060,TOUR Championship,132,136,Si Woo Kim,78,71.254,"5,221",51.763,74
t060,TOUR Championship,133,137,Ben Martin,38,71.259,"2,532",33.325,36
t060,TOUR Championship,134,138,David Hearn,55,71.266,"3,592",42.581,51
t060,TOUR Championship,T135,T139,Rafa Cabrera Bello,53,71.285,"3,749",29.098,53
