eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
,,"
        1","
        1","
    Bryson DeChambeau
        ",52,68.841,"3,550",29.714,52
,,"
        2","
        4","
    Webb Simpson
        ",44,68.888,"2,994",37.080,44
,,"
        3","
        2","
    Rory McIlroy
        ",48,69.013,"3,309",3.610,48
,,"
        4","
        3","
    Justin Thomas
        ",54,69.017,"3,706",20.916,54
,,"
        5","
        5","
    Daniel Berger
        ",52,69.205,"3,574",24.652,52
,,"
        6","
        6","
    Xander Schauffele
        ",58,69.282,"4,008",10.357,58
,,"
        7","
        7","
    Jon Rahm
        ",46,69.365,"3,176",14.811,46
,,"
        8","
        10","
    Patrick Reed
        ",62,69.498,"4,299",9.854,62
,,"
        9","
        8","
    Harris English
        ",64,69.533,"4,426",24.128,64
,,"
        10","
        9","
    Tyrrell Hatton
        ",30,69.625,"2,074",14.759,30
,,"
        11","
        11","
    Patrick Cantlay
        ",40,69.706,"2,776",12.249,40
,,"
        12","
        12","
    Abraham Ancer
        ",64,69.778,"4,441",24.819,64
,,"
        13","
        13","
    Collin Morikawa
        ",70,69.833,"4,866",22.288,70
,,"
        14","
        14","
    Gary Woodland
        ",56,69.836,"3,889",21.798,56
,,"
        15","
        15","
    Hideki Matsuyama
        ",62,69.841,"4,308",22.123,62
,,"
        16","
        16","
    Adam Scott
        ",30,69.863,"2,083",12.900,30
,,"
        17","
        17","
    Jason Day
        ",47,69.867,"3,274",9.771,47
,,"
        18","
        19","
    Sungjae Im
        ",84,69.888,"5,831",39.552,84
,,"
        19","
        18","
    Scottie Scheffler
        ",70,69.895,"4,860",32.620,70
,,"
        20","
        30","
    Billy Horschel
        ",69,70.033,"4,814",18.290,69
,,"
        21","
        20","
    Tony Finau
        ",62,70.052,"4,302",41.224,62
,,"
        22","
        21","
    Viktor Hovland
        ",62,70.079,"4,324",20.902,62
,,"
        23","
        22","
    Matthew Fitzpatrick
        ",48,70.102,"3,366",- 1.108,48
,,"
        24","
        23","
    Dustin Johnson
        ",37,70.116,"2,579",15.300,37
,,"
        25","
        24","
    Ian Poulter
        ",44,70.120,"3,080",5.261,44
,,"
        26","
        25","
    Brendon Todd
        ",74,70.127,"5,154",35.409,74
,,"
        27","
        29","
    Brian Harman
        ",70,70.157,"4,862",49.002,70
,,"
        28","
        35","
    Shane Lowry
        ",42,70.179,"2,936",11.532,42
,,"
        29","
        26","
    Ryan Palmer
        ",56,70.211,"3,919",12.796,56
,,"
        30","
        36","
    Bud Cauley
        ",63,70.214,"4,138",4.654,59
,,"
        31","
        28","
    Tommy Fleetwood
        ",36,70.219,"2,521",6.880,36
,,"
        32","
        27","
    Alex Noren
        ",52,70.228,"3,343",27.925,48
,,"
        33","
        41","
    Harold Varner III
        ",72,70.262,"5,023",35.862,72
,,"
        34","
        31","
    Matt Kuchar
        ",48,70.276,"3,362",11.251,48
,,"
        35","
        51","
    Russell Henley
        ",59,70.285,"3,831",34.688,55
,,"
        36","
        32","
    Brendan Steele
        ",60,70.306,"3,918",19.120,56
,,"
        37","
        33","
    Kevin Na
        ",59,70.322,"4,126",23.008,59
,,"
        38","
        37","
    Adam Long
        ",80,70.348,"5,589",38.829,80
,,"
        39","
        63","
    Zach Johnson
        ",57,70.354,"3,993",17.200,57
,,"
        40","
        38","
    Joaquin Niemann
        ",66,70.371,"4,609",35.471,66
,,"
        41","
        57","
    Doc Redman
        ",80,70.374,"5,579",50.936,80
,,"
        42","
        34","
    J.T. Poston
        ",70,70.375,"4,888",38.256,70
,,"
        43","
        55","
    Mark Hubbard
        ",78,70.402,"5,440",51.383,78
,,"
        44","
        49","
    Tom Lewis
        ",32,70.425,"2,235",18.602,32
,,"
        45","
        56","
    Paul Casey
        ",48,70.430,"3,355",25.660,48
,,"
        46","
        64","
    Denny McCarthy
        ",77,70.432,"5,098",43.500,73
,,"
        47","
        39","
    Bubba Watson
        ",58,70.433,"4,063",22.096,58
,,"
        48","
        40","
    Joel Dahmen
        ",73,70.437,"5,118",23.878,73
,,"
        49","
        43","
    Rickie Fowler
        ",40,70.462,"2,808",10.483,40
,,"
        50","
        45","
    Richy Werenski
        ",52,70.477,"3,353",29.886,48
,,"
        51","
        60","
    Tom Hoge
        ",68,70.484,"4,767",25.889,68
,,"
        52","
        81","
    Kevin Kisner
        ",61,70.487,"4,263",36.719,61
,,"
        53","
        47","
    Byeong Hun An
        ",69,70.488,"4,838",25.681,69
,,"
        54","
        42","
    Brice Garnett
        ",56,70.491,"3,907",40.488,56
,,"
        55","
        48","
    Corey Conners
        ",66,70.494,"4,631",21.610,66
